Rk,Year,Tms,Cmp,Att,Cmp%,Yds,TD
1,2021,32,12121,18712,64.8,124203,840
2,2020,32,11756,18018,65.2,122957,871
3,2019,32,11331,17853,63.5,120301,797
4,2018,32,11462,17671,64.9,121737,847
5,2017,32,10856,17488,62.1,114870,741
6,2016,32,11526,18295,63,123639,786
7,2015,32,11527,18298,63,124836,842
8,2014,32,11200,17879,62.6,121247,807
9,2013,32,11102,18136,61.2,120626,804
10,2012,32,10833,17788,60.9,118418,757
11,2011,32,10464,17410,60.1,117601,745
12,2010,32,10491,17269,60.8,113432,751
13,2009,32,10372,17033,60.9,111851,710
14,2008,32,10081,16526,61,108177,646
15,2007,32,10425,17045,61.2,109722,720
16,2006,32,9796,16389,59.8,104864,648
17,2005,32,9790,16464,59.5,104168,644
18,2004,32,9772,16354,59.8,107797,732
19,2003,32,9695,16493,58.8,102628,654
20,2002,32,10314,17292,59.6,108661,694
21,2001,31,9542,16181,59,102080,635
22,2000,31,9497,16322,58.2,102606,634

Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">Pro-Football-Reference.com</a>: <a href="https://www.pro-football-reference.com/years/NFL/passing.htm?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#passing_season_totals">View Original Table</a><br>Generated 8/8/2022.
