Rk,Season,Tms,Att,Yardage,TDs,Y/A,Y/G
1,2021,32,14493,62694,505,4.3,115.2
2,2020,32,13792,60868,532,4.4,118.9
3,2019,32,13387,57806,447,4.3,112.9
4,2018,32,13272,58601,439,4.4,114.5
5,2017,32,13755,56170,380,4.1,109.7
6,2016,32,13321,55763,443,4.2,108.9
7,2015,32,13488,55724,365,4.1,108.8
8,2014,32,13688,57002,380,4.2,111.3
9,2013,32,13871,57795,410,4.2,112.9
10,2012,32,13925,59349,401,4.3,115.9
11,2011,32,13971,59978,400,4.3,117.1
12,2010,32,13920,58607,399,4.2,114.5
13,2009,32,14088,59739,429,4.2,116.7
14,2008,32,14119,59370,476,4.2,116.0
15,2007,32,13986,56790,386,4.1,110.9
16,2006,32,14447,60061,424,4.2,117.3
17,2005,32,14375,57583,431,4.0,112.5
18,2004,32,14428,59709,416,4.1,116.6
19,2003,32,14508,60341,427,4.2,117.9
20,2002,32,14102,59459,460,4.2,116.1
21,2001,31,13666,55440,365,4.1,111.8
22,2000,31,13677,55829,412,4.1,112.6

Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">Pro-Football-Reference.com</a>: <a href="https://www.pro-football-reference.com/years/NFL/rushing.htm?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#rushing_and_receiving_season_totals">View Original Table</a><br>Generated 8/8/2022.
